Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 32417, -1722, -593, 16285,  0, 21, -19
1, 32552, -1724, -585, 16224,  2, 16, -17
2, 32688, -1772, -610, 16206,  -2, 19, -18
3, 32823, -1779, -617, 16193,  -6, 17, -16
4, 32959, -1847, -645, 16209,  -10, 15, -16
5, 33094, -1901, -675, 16234,  -9, 13, -15
6, 33229, -1932, -659, 16210,  -5, 9, -12
7, 33365, -1890, -643, 16219,  -4, 7, -9
8, 33500, -1824, -613, 16137,  -5, 9, -6
9, 33636, -1784, -614, 16165,  -6, 11, -3
10, 33771, -1736, -641, 16251,  -12, 18, 1
11, 33906, -1757, -743, 16227,  -13, 19, 6
12, 34042, -1806, -768, 16171,  -12, 15, 3
13, 34177, -1967, -716, 16239,  -10, 3, -1
14, 34313, -2026, -702, 16241,  -12, 3, -5
15, 34448, -2086, -670, 16252,  -14, 3, -2
16, 34584, -2063, -634, 16277,  -12, -5, 1
17, 34719, -2007, -610, 16219,  -8, -16, 2
18, 34855, -2011, -568, 16179,  -8, -25, 7
19, 34990, -1945, -592, 16116,  -9, -32, 9
20, 35126, -1910, -543, 16130,  -11, -43, 9
21, 35261, -1755, -614, 16256,  -17, -44, 5
22, 35397, -1761, -704, 16225,  -17, -37, -1
23, 35532, -1721, -672, 16237,  -10, -46, -5
24, 35667, -1666, -653, 16251,  -14, -52, -5
25, 35803, -1736, -510, 16213,  -18, -43, -8
26, 35938, -1692, -413, 16209,  -28, -28, -1
27, 36074, -1565, -308, 16226,  -39, -7, 15
28, 36209, -1371, -240, 16231,  -42, 12, 28
29, 36345, -1160, -294, 16131,  -48, 25, 33
30, 36480, -1334, -589, 16107,  -51, 44, 22
31, 36616, -1603, -729, 16128,  -53, 53, 19
32, 36751, -1894, -877, 16110,  -54, 57, 24
33, 36887, -2115, -988, 16210,  -60, 54, 27
34, 37022, -2309, -1093, 16357,  -59, 50, 27
35, 37157, -2359, -1070, 16415,  -51, 43, 27
36, 37293, -2382, -1031, 16378,  -45, 31, 23
37, 37428, -2388, -954, 16225,  -34, 9, 19
38, 37564, -2377, -929, 16252,  -34, -27, 18
39, 37699, -2329, -945, 16284,  -33, -58, 10
40, 37835, -2264, -871, 16369,  -30, -76, -1
41, 37970, -2117, -845, 16318,  -23, -85, -8
42, 38106, -1902, -779, 16256,  -16, -92, -14
43, 38241, -1687, -645, 16280,  -14, -96, -14
44, 38377, -1458, -603, 16251,  -16, -86, -11
45, 38512, -1257, -551, 16226,  -21, -69, -6
46, 38647, -1171, -558, 16220,  -25, -49, -7
47, 38783, -1139, -541, 16146,  -28, -27, -3
48, 38918, -1276, -694, 16260,  -39, 10, 0
49, 39054, -1483, -690, 16244,  -43, 27, 1
50, 39189, -1638, -793, 16218,  -41, 32, 2
51, 39325, -1852, -875, 16200,  -44, 25, -3
52, 39460, -2003, -806, 16206,  -43, 23, -7
53, 39595, -2128, -804, 16229,  -46, 23, -8
54, 39731, -2152, -793, 16223,  -47, 16, -6
55, 39866, -2108, -768, 16201,  -42, -2, -6
56, 40002, -2031, -781, 16202,  -36, -24, -6
57, 40137, -1948, -790, 16236,  -32, -32, -10
58, 40272, -1912, -848, 16244,  -33, -38, -13
59, 40408, -1887, -969, 16243,  -33, -49, -18
60, 40543, -1862, -1001, 16234,  -27, -52, -18
61, 40679, -1892, -1050, 16185,  -21, -52, -17
62, 40814, -1782, -1062, 16246,  -21, -57, -17
63, 40949, -1682, -968, 16346,  -27, -47, -20
64, 41085, -1449, -810, 16313,  -33, -25, -23
65, 41220, -1101, -457, 16205,  -44, 8, -16
66, 41356, -1202, -457, 16191,  -57, 20, -11
67, 41491, -1362, -491, 16179,  -64, 24, -8
68, 41627, -1559, -566, 16226,  -63, 29, -6
69, 41762, -1723, -661, 16277,  -63, 29, -6
70, 41897, -1887, -722, 16312,  -62, 36, -8
71, 42033, -1977, -822, 16300,  -58, 40, -9
72, 42168, -2016, -907, 16344,  -52, 37, -10
73, 42304, -2016, -900, 16325,  -43, 28, -7
74, 42439, -1911, -931, 16263,  -35, 27, -4
75, 42574, -1862, -941, 16218,  -29, 29, 0
76, 42710, -1776, -1021, 16218,  -28, 31, 1
