Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 32380, -5481, 14666, 3338,  -17, 14, 14
1, 32515, -5508, 14704, 3302,  -11, 6, 13
2, 32651, -5529, 14698, 3229,  -16, 3, 11
3, 32786, -5550, 14664, 3248,  -14, -3, 8
4, 32922, -5511, 14672, 3268,  -13, -5, 7
5, 33057, -5496, 14650, 3263,  -13, -6, 6
6, 33193, -5463, 14627, 3248,  -10, -8, 7
7, 33328, -5446, 14668, 3245,  -10, -12, 8
8, 33464, -5482, 14709, 3285,  -13, -11, 5
9, 33599, -5483, 14680, 3261,  -9, -9, 2
10, 33735, -5534, 14630, 3261,  -8, -13, -2
11, 33870, -5566, 14611, 3223,  -7, -13, -3
12, 34005, -5529, 14557, 3219,  -5, -15, -4
13, 34141, -5470, 14547, 3212,  -5, -14, -2
14, 34276, -5441, 14585, 3207,  -4, -10, 1
15, 34412, -5391, 14612, 3208,  -4, -7, -2
16, 34547, -5365, 14630, 3217,  -2, -6, -1
17, 34683, -5451, 14629, 3205,  -3, -1, -1
18, 34818, -5472, 14607, 3216,  -5, 3, -2
19, 34954, -5526, 14560, 3214,  -9, 6, -4
20, 35089, -5542, 14538, 3224,  -6, 2, 0
21, 35224, -5551, 14606, 3267,  2, -6, 5
22, 35360, -5551, 14597, 3238,  3, -11, 8
23, 35495, -5546, 14571, 3224,  8, -16, 13
24, 35631, -5444, 14569, 3232,  11, -18, 14
25, 35766, -5412, 14580, 3233,  12, -18, 15
26, 35902, -5347, 14611, 3261,  12, -18, 15
27, 36037, -5374, 14647, 3245,  13, -21, 10
28, 36173, -5420, 14654, 3205,  15, -16, 4
29, 36308, -5439, 14614, 3245,  14, -15, -2
30, 36444, -5452, 14586, 3251,  16, -20, -4
31, 36579, -5462, 14583, 3195,  21, -24, -8
32, 36715, -5525, 14704, 3216,  23, -30, -10
33, 36850, -5571, 14787, 3224,  21, -30, -8
34, 36986, -5546, 14776, 3294,  13, -21, -3
35, 37121, -5506, 14602, 3347,  17, 0, 4
36, 37257, -5416, 14648, 3320,  21, -5, 1
37, 37392, -5402, 14699, 3322,  26, -11, -2
38, 37528, -5359, 14730, 3353,  26, -11, -2
39, 37663, -5331, 14691, 3349,  20, 2, 3
40, 37798, -5272, 14713, 3402,  13, 14, 3
41, 37934, -5329, 14796, 3384,  9, 19, -3
42, 38069, -5409, 14798, 3397,  6, 16, -6
43, 38205, -5494, 14778, 3419,  7, 10, -8
44, 38340, -5582, 14714, 3384,  8, 7, -8
45, 38476, -5593, 14710, 3395,  6, 7, -5
46, 38611, -5461, 14702, 3363,  2, 7, -2
47, 38747, -5356, 14688, 3295,  0, 9, -1
48, 38882, -5358, 14765, 3286,  -5, 9, 2
49, 39018, -5334, 14793, 3262,  -8, 8, 2
50, 39153, -5366, 14774, 3259,  -9, 12, -4
51, 39288, -5410, 14782, 3271,  -13, 14, -10
52, 39424, -5489, 14734, 3306,  -12, 5, -7
53, 39559, -5505, 14752, 3357,  -12, -2, 0
54, 39695, -5477, 14720, 3299,  -8, -5, 6
55, 39830, -5411, 14698, 3266,  -6, -8, 5
56, 39966, -5391, 14712, 3265,  -3, -10, 3
57, 40101, -5371, 14703, 3249,  4, -12, 3
58, 40237, -5345, 14716, 3237,  2, -15, 3
59, 40372, -5361, 14687, 3255,  5, -17, 1
60, 40508, -5388, 14668, 3227,  5, -17, 1
61, 40643, -5465, 14663, 3262,  5, -20, 6
62, 40779, -5468, 14594, 3291,  8, -17, 12
63, 40914, -5460, 14617, 3306,  8, -18, 10
64, 41050, -5458, 14620, 3285,  13, -21, 11
65, 41185, -5428, 14639, 3251,  19, -24, 13
66, 41321, -5398, 14675, 3167,  22, -25, 14
67, 41456, -5323, 14659, 3162,  21, -28, 15
68, 41592, -5308, 14623, 3157,  23, -26, 17
69, 41727, -5302, 14621, 3142,  20, -18, 15
70, 41863, -5454, 14651, 3222,  15, -11, 7
71, 41998, -5544, 14741, 3232,  9, -7, 13
72, 42134, -5593, 14708, 3275,  8, 2, 19
73, 42269, -5560, 14639, 3275,  10, 6, 21
74, 42405, -5540, 14571, 3286,  14, 5, 22
75, 42540, -5476, 14651, 3271,  18, 0, 19
76, 42676, -5408, 14747, 3260,  18, -3, 17
77, 42811, -5331, 14787, 3222,  13, 0, 15
78, 42947, -5285, 14767, 3208,  11, 6, 14
79, 43083, -5293, 14753, 3220,  9, 10, 11
80, 43218, -5341, 14741, 3175,  6, 14, 10
81, 43354, -5473, 14706, 3222,  2, 18, 5
82, 43489, -5541, 14717, 3211,  1, 22, 5
83, 43625, -5621, 14737, 3254,  0, 24, 6
84, 43760, -5544, 14788, 3265,  -1, 22, 7
85, 43896, -5503, 14846, 3200,  2, 18, 11
86, 44031, -5470, 14859, 3182,  4, 13, 12
87, 44167, -5515, 14764, 3165,  6, 5, 11
88, 44302, -5483, 14774, 3146,  1, -1, 9
