Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 13542,  -4764, -3954, 15982,  0, 0, 0
1, 13677,  -4800, -3896, 16079,  0, 0, 0
2, 13813,  -4818, -3692, 15901,  0, 0, 0
3, 13948,  -4926, -3768, 15777,  0, 0, 0
4, 14083,  -4605, -3781, 15756,  0, 0, 0
5, 14219,  -4665, -3563, 15630,  123, -96, -77
6, 14354,  -4687, -3364, 15422,  128, -99, -70
7, 14490,  -4678, -3446, 15347,  150, -105, -59
8, 14625,  -4763, -3722, 15343,  168, -80, -33
9, 14760,  -4718, -3838, 15137,  177, -53, -1
10, 14896,  -4654, -3816, 14915,  180, -34, 15
11, 15031,  -4662, -3777, 14798,  175, -31, 14
12, 15167,  -4550, -3732, 14710,  159, -42, 9
13, 15302,  -4515, -3723, 14608,  139, -47, 4
14, 15438,  -4524, -3787, 14582,  118, -53, 1
15, 15573,  -4415, -3827, 14525,  86, -48, -6
16, 15708,  -4344, -3885, 14564,  54, -37, -9
17, 15844,  -4312, -3963, 14634,  22, -25, -3
18, 15979,  -4268, -4023, 14778,  -10, -13, 0
19, 16115,  -4236, -3984, 14942,  -41, 0, -5
20, 16250,  -4248, -3915, 15144,  -63, 8, -23
21, 16385,  -4411, -3815, 15500,  -83, 7, -71
22, 16521,  -4494, -3924, 15706,  -80, 8, -91
23, 16656,  -4595, -3807, 15701,  -75, 7, -108
24, 16792,  -4600, -3896, 15783,  -69, 7, -126
25, 16927,  -4726, -4046, 15958,  -50, -5, -154
26, 17062,  -4993, -4095, 16062,  -17, -10, -165
27, 17198,  -5227, -4086, 16016,  16, -7, -152
28, 17333,  -5284, -4046, 16011,  52, -14, -130
29, 17468,  -5125, -3983, 15919,  87, -22, -112
30, 17604,  -5251, -3847, 15729,  121, -25, -94
31, 17739,  -5470, -3650, 15541,  143, -42, -73
32, 17875,  -5372, -3517, 15395,  152, -69, -49
33, 18010,  -5226, -3674, 15260,  155, -76, -26
