Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 13545,  -6480, -3376, 14616,  0, 0, 0
1, 13681,  -6622, -3458, 14711,  0, 0, 0
2, 13816,  -6613, -3488, 14644,  0, 0, 0
3, 13952,  -6577, -3468, 14597,  0, 0, 0
4, 14087,  -6581, -3484, 14608,  0, 0, 0
5, 14222,  -6568, -3464, 14583,  0, -5, 7
6, 14358,  -6523, -3518, 14644,  9, -11, 9
7, 14493,  -6473, -3509, 14615,  -3, -4, 7
8, 14629,  -6516, -3478, 14635,  -8, -3, 8
9, 14764,  -6500, -3475, 14732,  -5, -5, 7
10, 14900,  -6494, -3432, 14783,  -5, -8, -1
11, 15035,  -6534, -3400, 14728,  0, -12, -7
12, 15170,  -6497, -3382, 14714,  7, -18, -9
13, 15306,  -6489, -3388, 14660,  11, -21, -13
14, 15441,  -6518, -3435, 14692,  14, -21, -18
15, 15577,  -6543, -3445, 14651,  11, -22, -20
16, 15712,  -6559, -3511, 14669,  9, -19, -20
17, 15847,  -6627, -3533, 14660,  9, -15, -21
18, 15983,  -6635, -3495, 14616,  11, -15, -18
19, 16118,  -6590, -3508, 14607,  12, -18, -14
20, 16254,  -6584, -3495, 14574,  11, -21, -10
21, 16389,  -6577, -3633, 14535,  8, -30, -9
22, 16524,  -6515, -3675, 14584,  6, -36, -12
23, 16660,  -6561, -3669, 14603,  3, -37, -14
24, 16795,  -6556, -3649, 14659,  -2, -46, -11
25, 16931,  -6522, -3662, 14717,  -2, -50, -12
26, 17066,  -6512, -3567, 14785,  0, -54, -13
27, 17201,  -6505, -3620, 14794,  4, -58, -11
28, 17337,  -6558, -3589, 14812,  13, -62, -13
29, 17472,  -6509, -3573, 14853,  19, -66, -15
30, 17607,  -6464, -3570, 14871,  23, -65, -19
31, 17743,  -6448, -3599, 14849,  29, -60, -22
32, 17878,  -6467, -3606, 14808,  37, -58, -23
33, 18014,  -6445, -3511, 14782,  42, -57, -19
34, 18149,  -6423, -3548, 14710,  42, -56, -18
35, 18284,  -6430, -3569, 14682,  37, -51, -14
36, 18420,  -6429, -3533, 14657,  35, -43, -12
37, 18555,  -6428, -3557, 14614,  30, -35, -9
38, 18691,  -6379, -3467, 14548,  15, -27, -4
39, 18826,  -6345, -3407, 14597,  10, -18, -2
40, 18961,  -6329, -3412, 14588,  3, -7, 3
41, 19097,  -6348, -3352, 14591,  1, -3, 1
42, 19232,  -6349, -3339, 14594,  -2, -3, 1
43, 19368,  -6357, -3307, 14602,  -1, -5, -4
44, 19503,  -6380, -3283, 14598,  -2, -5, -6
45, 19638,  -6356, -3303, 14576,  -2, -4, -9
46, 19774,  -6355, -3336, 14547,  -4, 2, -11
47, 19909,  -6419, -3326, 14558,  -6, 10, -15
48, 20045,  -6470, -3346, 14568,  -10, 13, -15
49, 20180,  -6476, -3365, 14565,  -15, 18, -14
50, 20315,  -6527, -3338, 14619,  -25, 23, -16
51, 20451,  -6566, -3326, 14636,  -24, 21, -14
52, 20586,  -6593, -3325, 14661,  -25, 23, -14
53, 20722,  -6615, -3304, 14661,  -26, 21, -11
54, 20857,  -6646, -3301, 14749,  -24, 16, -8
55, 20992,  -6674, -3404, 14806,  -23, 6, 0
56, 21128,  -6656, -3438, 14803,  -21, 5, 4
57, 21263,  -6664, -3512, 14789,  -22, 3, 10
58, 21399,  -6578, -3549, 14837,  -19, -2, 20
59, 21534,  -6524, -3510, 14796,  -18, -4, 28
60, 21670,  -6498, -3528, 14844,  -18, -3, 34
61, 21805,  -6433, -3561, 14827,  -17, -5, 42
62, 21941,  -6396, -3556, 14838,  -18, -4, 46
63, 22076,  -6339, -3577, 14840,  -18, -7, 41
64, 22211,  -6273, -3603, 14895,  -19, -12, 34
65, 22347,  -6234, -3568, 14947,  -17, -16, 28
66, 22482,  -6192, -3576, 14967,  -11, -16, 25
67, 22618,  -6149, -3532, 14908,  -4, -14, 20
68, 22753,  -6143, -3583, 14889,  3, -12, 12
69, 22889,  -6075, -3600, 14908,  11, -10, 0
70, 23024,  -6151, -3623, 14852,  19, -8, -12
71, 23160,  -6141, -3667, 14856,  21, -2, -23
72, 23295,  -6172, -3714, 14783,  28, 2, -32
73, 23430,  -6322, -3646, 14683,  35, 14, -46
74, 23566,  -6361, -3693, 14640,  39, 17, -51
75, 23701,  -6404, -3643, 14600,  38, 20, -54
76, 23837,  -6481, -3635, 14558,  37, 25, -56
77, 23972,  -6524, -3686, 14543,  32, 26, -52
78, 24107,  -6569, -3664, 14499,  27, 27, -44
79, 24243,  -6651, -3607, 14491,  16, 26, -40
80, 24378,  -6675, -3596, 14536,  8, 29, -40
81, 24514,  -6742, -3545, 14576,  0, 31, -40
82, 24649,  -6771, -3465, 14642,  -6, 29, -38
83, 24784,  -6761, -3451, 14669,  -11, 27, -35
84, 24920,  -6770, -3422, 14666,  -10, 20, -31
85, 25055,  -6861, -3387, 14652,  -8, 8, -23
86, 25191,  -6872, -3428, 14696,  -6, 0, -14
87, 25326,  -6888, -3403, 14739,  -4, -9, -10
88, 25461,  -6835, -3371, 14757,  0, -15, 2
89, 25597,  -6765, -3355, 14750,  3, -22, 14
90, 25732,  -6669, -3265, 14777,  6, -26, 33
91, 25868,  -6591, -3229, 14760,  6, -22, 43
92, 26003,  -6495, -3187, 14623,  9, -17, 55
93, 26139,  -6431, -3150, 14575,  11, -14, 62
94, 26274,  -6284, -3099, 14497,  12, -12, 64
95, 26410,  -6205, -3145, 14437,  10, -8, 63
96, 26545,  -6122, -3160, 14413,  5, -6, 59
97, 26681,  -6044, -3168, 14382,  -4, -3, 51
98, 26816,  -6095, -3187, 14399,  -19, 9, 51
99, 26952,  -6201, -3356, 14518,  -27, 18, 57
100, 27087,  -6035, -3397, 14454,  -35, 24, 49
101, 27222,  -6084, -3493, 14549,  -45, 48, 28
102, 27358,  -6175, -3462, 14633,  -54, 54, 3
103, 27493,  -6220, -3474, 14689,  -65, 53, -11
104, 27629,  -6274, -3468, 14817,  -69, 58, -20
105, 27764,  -6316, -3571, 14923,  -68, 66, -28
106, 27900,  -6361, -3464, 14894,  -66, 67, -37
107, 28035,  -6513, -3695, 15310,  -55, 46, -44
108, 28170,  -6461, -3533, 15281,  -31, 40, -53
109, 28306,  -6739, -3596, 15201,  -11, 60, -60
110, 28441,  -6744, -3599, 15098,  9, 57, -74
111, 28577,  -6836, -3598, 14938,  26, 42, -86
112, 28712,  -6976, -3499, 14809,  36, 5, -88
113, 28847,  -6924, -3464, 14778,  46, -46, -80
114, 28983,  -6994, -3470, 14743,  53, -69, -53
115, 29118,  -6970, -3480, 14601,  52, -62, -21
116, 29254,  -6825, -3635, 14597,  56, -34, 7
117, 29389,  -6748, -3658, 14580,  70, -19, 35
118, 29525,  -6618, -3506, 14326,  74, -23, 54
119, 29660,  -6471, -3433, 14177,  64, -35, 55
120, 29795,  -6354, -3530, 14165,  42, -39, 50
121, 29931,  -6281, -3557, 14195,  20, -33, 42
122, 30066,  -6208, -3594, 14239,  4, -20, 35
