Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0,13539,-7772,4161,13714,0,0,0
1,13675,-7813,4258,13882,0,0,0
2,13810,-7884,4198,13913,0,0,0
3,13945,-7880,4168,13955,0,0,0
4,14081,-7980,4282,13841,0,0,0
5,14216,-8080,4321,13765,0,7,13
6,14352,-8076,4367,13751,6,-4,19
7,14487,-8034,4400,13673,5,0,14
8,14623,-8039,4374,13554,-1,-6,15
9,14758,-8051,4405,13542,-4,-17,18
10,14893,-7989,4409,13486,-9,-28,17
11,15029,-7906,4396,13445,-15,-37,21
12,15164,-7932,4359,13432,-20,-43,26
13,15300,-7840,4327,13437,-26,-47,30
14,15435,-7738,4305,13508,-29,-49,39
15,15571,-7595,4321,13553,-31,-43,43
16,15706,-7578,4224,13543,-30,-37,45
17,15842,-7580,4243,13599,-27,-32,48
18,15977,-7602,4291,13551,-26,-27,49
19,16113,-7537,4306,13539,-27,-21,43
20,16248,-7359,4230,13684,-25,-6,42
21,16384,-7408,4311,13631,-13,14,40
22,16519,-7433,4286,13649,-10,15,24
23,16655,-7372,4209,13632,-7,15,4
24,16790,-7386,4214,13683,-2,15,-6
25,16925,-7489,4253,13632,2,17,-18
26,17061,-7508,4249,13670,2,10,-28
27,17196,-7651,4270,13695,4,3,-36
28,17332,-7740,4277,13721,7,0,-41
29,17467,-7787,4351,13742,10,1,-40
30,17602,-7851,4396,13648,17,-3,-38
31,17738,-7915,4351,13524,21,-7,-29
32,17873,-7972,4327,13540,20,-8,-19
33,18008,-7920,4289,13536,15,-9,-11
34,18144,-7841,4248,13496,9,-7,-3
35,18279,-7879,4264,13531,0,-7,8
36,18415,-7849,4293,13484,-4,-4,15
37,18550,-7789,4282,13552,-12,2,20
38,18686,-7678,4235,13595,-19,6,25
39,18821,-7600,4215,13653,-22,3,10
40,18956,-7551,4233,13703,-18,-1,4
41,19092,-7623,4249,13695,-14,-4,-2
42,19227,-7689,4256,13783,-12,-4,-5
43,19363,-7708,4204,13834,-8,-6,-11
44,19498,-7726,4214,13847,-3,-2,-12
45,19633,-7765,4298,13860,4,1,-12
46,19769,-7807,4344,13836,12,3,-9
47,19904,-7803,4386,13766,15,9,-7
48,20040,-7818,4374,13733,16,12,-8
49,20175,-7820,4358,13658,17,5,-7
50,20310,-7842,4407,13643,12,3,-4
51,20446,-7819,4437,13670,9,-3,1
52,20581,-7848,4447,13644,6,-8,9
53,20717,-7799,4377,13593,5,-11,15
54,20852,-7806,4321,13553,2,-14,19
55,20988,-7801,4331,13577,-4,-13,21
56,21123,-7677,4309,13551,-13,-12,36
57,21259,-7578,4258,13656,-18,-13,42
58,21394,-7561,4261,13643,-22,-13,45
59,21529,-7564,4275,13679,-22,-11,45
60,21665,-7576,4224,13718,-23,-12,38
61,21800,-7530,4165,13759,-24,-10,32
62,21936,-7489,4194,13811,-21,-7,30
63,22071,-7404,4246,13829,-15,-4,32
64,22207,-7391,4298,13837,-8,0,31
65,22342,-7421,4301,13758,2,-1,27
66,22478,-7390,4306,13714,11,-4,21
67,22613,-7393,4315,13645,19,-7,12
68,22749,-7466,4319,13579,22,-14,7
69,22884,-7486,4302,13520,17,-17,1
70,23020,-7524,4326,13473,11,-17,-1
71,23155,-7579,4348,13479,4,-15,2
72,23290,-7583,4384,13511,-2,-10,0
73,23426,-7573,4420,13591,-15,-6,8
74,23561,-7533,4407,13619,-18,-4,5
75,23697,-7544,4387,13673,-22,-6,1
76,23832,-7563,4398,13740,-20,-7,1
77,23968,-7601,4372,13722,-19,-8,5
78,24103,-7591,4420,13789,-20,-9,11
79,24239,-7589,4463,13802,-17,-5,19
80,24374,-7578,4469,13794,-13,2,29
