"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.714583330E-3,4.081262970E0,-9.053323517E0,5.189707947E-1,9.944280005E0
1.267158333E-2,4.131857758E0,-9.041498108E0,5.278024292E-1,9.954873780E0
2.262858333E-2,4.153562622E0,-9.030720520E0,5.005590820E-1,9.952715959E0
3.258658333E-2,4.183949432E0,-9.000932465E0,4.520599365E-1,9.936124812E0
4.254358333E-2,4.111649780E0,-8.945397949E0,4.872367859E-1,9.857139954E0
5.250058333E-2,4.006867676E0,-8.922196198E0,5.771997070E-1,9.797639157E0
6.245758334E-2,3.968846741E0,-8.932075653E0,6.494993591E-1,9.795691366E0
7.241458334E-2,4.012705536E0,-8.915310516E0,6.864724731E-1,9.800806690E0
8.237158332E-2,4.007765808E0,-8.913663940E0,6.888674927E-1,9.797455284E0
9.232858333E-2,4.010609894E0,-8.916358337E0,6.718029785E-1,9.799885559E0
1.022865833E-1,4.014202423E0,-8.922046509E0,6.418652344E-1,9.804525791E0
1.122435833E-1,4.021387482E0,-8.921148376E0,6.002517700E-1,9.804016923E0
1.222005833E-1,4.013154602E0,-8.920399933E0,5.746549988E-1,9.798427077E0
1.321575833E-1,3.957021332E0,-8.893306274E0,5.754034424E-1,9.750897571E0
1.421145833E-1,3.930975494E0,-8.912167053E0,6.059399414E-1,9.759428935E0
1.520715833E-1,3.968098297E0,-8.999435577E0,5.767506409E-1,9.852323894E0
1.620285833E-1,3.968547363E0,-9.019793243E0,5.322930908E-1,9.868605487E0
1.719865833E-1,3.957021332E0,-8.998986511E0,5.056484985E-1,9.843548977E0
1.819435833E-1,3.979175262E0,-8.950637054E0,4.700225830E-1,9.806562123E0
1.919005833E-1,3.990551605E0,-8.936117249E0,4.454736328E-1,9.796792350E0
2.018575833E-1,3.986809387E0,-8.945547638E0,4.722679138E-1,9.805126650E0
2.118145833E-1,3.990252228E0,-8.927734680E0,5.453160095E-1,9.794076215E0
2.217715833E-1,4.004023590E0,-8.940458221E0,5.855822754E-1,9.813608140E0
2.317285833E-1,4.004322968E0,-8.961414642E0,6.002517700E-1,9.833710236E0
2.416865833E-1,4.000730438E0,-8.951385498E0,6.140231323E-1,9.823959018E0
2.516435833E-1,3.989503784E0,-8.923244019E0,6.098318481E-1,9.793483504E0
