"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.167666662E-3,4.286935272E0,-8.786278839E0,2.724334717E-1,9.780119113E0
8.789333340E-3,4.307891693E0,-8.891210632E0,4.716691589E-1,9.891108590E0
1.874633334E-2,4.295766907E0,-8.924142151E0,6.818321228E-1,9.927679562E0
2.870333333E-2,4.245172119E0,-8.928183746E0,7.217990112E-1,9.912363247E0
3.866033333E-2,4.259242859E0,-8.915460205E0,6.017486572E-1,9.898923267E0
4.861733333E-2,4.284989319E0,-8.833131409E0,5.376818848E-1,9.832316398E0
5.857533334E-2,4.245022430E0,-8.781189423E0,4.825964355E-1,9.765367501E0
6.853233333E-2,4.210294647E0,-8.801247711E0,4.082011414E-1,9.764997207E0
7.848933333E-2,4.230652313E0,-8.838220825E0,3.477268982E-1,9.804768245E0
8.844633334E-2,4.228257294E0,-8.852441254E0,3.493734741E-1,9.816615390E0
9.840333334E-2,4.220024414E0,-8.861123199E0,4.092489624E-1,9.823217147E0
1.083603333E-1,4.207899628E0,-8.875343628E0,5.008584595E-1,9.835090390E0
1.183173333E-1,4.185446320E0,-8.883576508E0,5.842350769E-1,9.837541516E0
1.282753333E-1,4.138893127E0,-8.888965302E0,6.056405640E-1,9.823998216E0
1.382323333E-1,4.137845306E0,-8.882678375E0,5.528004456E-1,9.814750493E0
1.481893333E-1,4.160747681E0,-8.869505768E0,5.173242188E-1,9.810585007E0
1.581463333E-1,4.158352661E0,-8.846004639E0,5.031037903E-1,9.787584398E0
1.681033333E-1,4.148922272E0,-8.815168762E0,5.219645691E-1,9.756700433E0
1.780603333E-1,4.148772583E0,-8.793314209E0,5.748046875E-1,9.739871106E0
1.880183333E-1,4.177063751E0,-8.826994171E0,6.584806824E-1,9.787608722E0
1.979753333E-1,4.164789276E0,-8.864566040E0,6.837780762E-1,9.818021860E0
2.079323333E-1,4.174668732E0,-8.893306274E0,6.674620056E-1,9.847043264E0
2.178893333E-1,4.186045074E0,-8.887318726E0,6.382727051E-1,9.844531454E0
2.278463333E-1,4.189487915E0,-8.832981720E0,5.779481506E-1,9.793232312E0
2.378033333E-1,4.196972351E0,-8.779542847E0,5.132826233E-1,9.744660516E0
2.477603333E-1,4.218228149E0,-8.776249695E0,4.828958130E-1,9.749317709E0
2.577183333E-1,4.230802002E0,-8.827742615E0,4.698728943E-1,9.800484977E0
2.676753333E-1,4.255800018E0,-8.884025574E0,4.799020386E-1,9.862456598E0
2.776323333E-1,4.251459045E0,-8.881031799E0,5.028044128E-1,9.859028457E0
2.875893333E-1,4.222569122E0,-8.843310242E0,5.020559692E-1,9.812557578E0
2.975463333E-1,4.205654297E0,-8.840017090E0,5.120851135E-1,9.802839455E0
3.075033333E-1,4.194727020E0,-8.842861176E0,5.155279541E-1,9.800902898E0
3.174613333E-1,4.178710327E0,-8.830586700E0,5.057981873E-1,9.782469692E0
3.274183333E-1,4.195325775E0,-8.818012848E0,5.206173706E-1,9.779015870E0
3.373753333E-1,4.204157410E0,-8.807684326E0,5.291496277E-1,9.773957338E0
3.473323333E-1,4.223018188E0,-8.812174988E0,5.505551147E-1,9.787309210E0
3.572893333E-1,4.244273987E0,-8.810678101E0,5.848338318E-1,9.797139423E0
3.672463333E-1,4.245321808E0,-8.835376740E0,6.027964783E-1,9.820896241E0
3.772033333E-1,4.240082703E0,-8.853339386E0,6.072871399E-1,9.835075865E0
3.871613333E-1,4.247866516E0,-8.864715729E0,6.020480347E-1,9.848350965E0
3.971183333E-1,4.234544220E0,-8.866212616E0,5.969586182E-1,9.843650263E0
4.070758333E-1,4.217180328E0,-8.856482849E0,5.861810303E-1,9.826774984E0
