"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.028666666E-3,-4.357139282E0,-8.774902496E0,3.466790771E-1,9.803252671E0
1.098566667E-2,-4.405039673E0,-8.739276581E0,4.616400146E-1,9.797573229E0
2.094266667E-2,-4.356690216E0,-8.715176697E0,7.099736023E-1,9.769294601E0
3.089966667E-2,-4.248914337E0,-8.713530121E0,1.005908203E0,9.746318870E0
4.085766667E-2,-4.159250793E0,-8.732690277E0,1.239721985E0,9.751725859E0
5.081466667E-2,-4.148772583E0,-8.764723663E0,1.339564362E0,9.789133134E0
6.077166667E-2,-4.196972351E0,-8.784332886E0,1.281036072E0,9.819375468E0
7.072866667E-2,-4.255350952E0,-8.776698761E0,1.092128906E0,9.814845817E0
8.068666667E-2,-4.273912354E0,-8.767867126E0,9.160949707E-1,9.796991923E0
9.064366667E-2,-4.302203522E0,-8.765472107E0,7.833210754E-1,9.795715814E0
1.006006667E-1,-4.329297180E0,-8.723110199E0,7.491920471E-1,9.767126207E0
1.105576667E-1,-4.337979126E0,-8.703950043E0,7.902067566E-1,9.757112071E0
1.205146667E-1,-4.306694183E0,-8.728648682E0,8.824150085E-1,9.773207193E0
1.304716667E-1,-4.251908112E0,-8.759185181E0,9.804611206E-1,9.785875108E0
1.404296667E-1,-4.197870483E0,-8.795709229E0,1.060394897E0,9.803624573E0
1.503866667E-1,-4.169729004E0,-8.787326660E0,1.080902252E0,9.786322061E0
1.603436667E-1,-4.197571106E0,-8.762777710E0,1.044228516E0,9.772220299E0
1.703006667E-1,-4.265829163E0,-8.760682068E0,9.648934937E-1,9.791724475E0
1.802576667E-1,-4.296814728E0,-8.743168488E0,8.896000671E-1,9.782484362E0
1.902156667E-1,-4.288881226E0,-8.722661133E0,8.405021667E-1,9.756319147E0
2.001726667E-1,-4.267176361E0,-8.730594635E0,8.515791321E-1,9.754858471E0
2.101296667E-1,-4.288581848E0,-8.754245453E0,9.014254761E-1,9.789857793E0
2.200866667E-1,-4.344864807E0,-8.788973236E0,9.764195251E-1,9.852781121E0
2.300436667E-1,-4.339176636E0,-8.812923431E0,1.040037231E0,9.878145106E0
2.400016667E-1,-4.288581848E0,-8.822653198E0,1.103654938E0,9.871636032E0
2.499586667E-1,-4.233795776E0,-8.771010590E0,1.104104004E0,9.801770202E0
2.599156667E-1,-4.193828888E0,-8.705895996E0,1.056802368E0,9.720990540E0
2.698726667E-1,-4.230951691E0,-8.678203583E0,9.711804199E-1,9.703368541E0
