"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.631666673E-4,3.792962494E0,-8.826245728E0,1.788780212E0,9.771842854E0
1.012116666E-2,3.777843933E0,-8.873397675E0,1.606609039E0,9.777038595E0
2.007816666E-2,3.845802612E0,-8.860674133E0,1.349743195E0,9.753130293E0
3.003516667E-2,4.062851257E0,-8.863667908E0,9.988728333E-1,9.801485400E0
3.999216665E-2,4.259991302E0,-8.898545380E0,7.232958984E-1,9.892158143E0
4.995016666E-2,4.312382355E0,-8.902736664E0,6.242019653E-1,9.911861065E0
5.990716667E-2,4.252506866E0,-8.910221100E0,6.824308777E-1,9.896543164E0
6.986416665E-2,4.116439819E0,-8.879983978E0,7.551795959E-1,9.816796242E0
7.982116666E-2,4.039350128E0,-8.819509735E0,8.149053955E-1,9.734689118E0
8.977816666E-2,4.036206665E0,-8.788673859E0,8.782237244E-1,9.710974686E0
9.973616667E-2,4.078119507E0,-8.787476349E0,9.383985901E-1,9.733005251E0
1.096931667E-1,4.107458496E0,-8.777596893E0,1.040486298E0,9.746796102E0
1.196501667E-1,4.109105072E0,-8.828341370E0,1.197809143E0,9.811172334E0
1.296071667E-1,4.059707794E0,-8.896898804E0,1.367556152E0,9.874525079E0
1.395641667E-1,3.943100281E0,-8.956624603E0,1.507964172E0,9.901672589E0
1.495221667E-1,3.830234985E0,-8.994346161E0,1.565594330E0,9.900507488E0
1.594791667E-1,3.752097473E0,-9.044042816E0,1.512305145E0,9.907573505E0
1.694361667E-1,3.791315918E0,-9.065148926E0,1.337618408E0,9.916663977E0
1.793931667E-1,3.967200165E0,-9.020242310E0,1.140178986E0,9.919851642E0
1.893511667E-1,4.175866241E0,-8.913663940E0,9.855505371E-1,9.892551419E0
1.993081667E-1,4.268224182E0,-8.815767517E0,8.668473816E-1,9.832950675E0
2.092651667E-1,4.258793793E0,-8.762478333E0,8.324189758E-1,9.778101679E0
2.192221667E-1,4.186943207E0,-8.735384674E0,8.385562134E-1,9.723199851E0
2.291791667E-1,4.120032349E0,-8.751101990E0,8.265811157E-1,9.707712858E0
2.391371667E-1,4.110601959E0,-8.784781952E0,8.036787415E-1,9.732180739E0
2.490941667E-1,4.103267212E0,-8.810528412E0,7.834707642E-1,9.750694291E0
2.590511667E-1,4.121229858E0,-8.841064911E0,7.664062500E-1,9.784495022E0
2.690081667E-1,4.178410950E0,-8.866961060E0,8.125103760E-1,9.835765837E0
2.789661667E-1,4.199217682E0,-8.876690826E0,8.824150085E-1,9.859397822E0
2.889231667E-1,4.161196747E0,-8.878038025E0,9.488768005E-1,9.850659101E0
2.988801667E-1,4.119283905E0,-8.877888336E0,1.010997620E0,9.839081125E0
3.088371667E-1,4.106260986E0,-8.867410126E0,1.086141357E0,9.832194296E0
3.187941667E-1,4.098626862E0,-8.862620087E0,1.156045990E0,9.832660844E0
3.287521667E-1,4.094136200E0,-8.854237518E0,1.178050232E0,9.825847322E0
3.387091667E-1,4.090693359E0,-8.843010864E0,1.237476654E0,9.821606884E0
3.486661667E-1,4.051774292E0,-8.851543121E0,1.261726227E0,9.816243865E0
3.586231667E-1,4.024530945E0,-8.869655457E0,1.269659729E0,9.822406684E0
