"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.463291657E-3,3.630250854E0,-8.976982269E0,1.465901642E0,9.793559085E0
1.142029166E-2,3.679199066E0,-8.924291840E0,1.467548218E0,9.763871588E0
2.137829167E-2,3.670367432E0,-8.944649506E0,1.376986542E0,9.765984016E0
3.133529166E-2,3.606899414E0,-8.981173553E0,1.267564087E0,9.761040953E0
4.129229166E-2,3.614084473E0,-9.021140442E0,1.196911011E0,9.791587073E0
5.124929166E-2,3.609294434E0,-9.018296356E0,1.133143616E0,9.779605817E0
6.120629166E-2,3.536396027E0,-8.998836823E0,1.026864624E0,9.723148254E0
7.116429166E-2,3.486100616E0,-8.998986511E0,9.815089417E-1,9.700413163E0
8.112129166E-2,3.444187775E0,-9.016200714E0,9.864486694E-1,9.701926908E0
9.107829166E-2,3.400179291E0,-9.023086395E0,1.058598633E0,9.700409186E0
1.010352917E-1,3.377276917E0,-9.033714294E0,1.195863190E0,9.718234515E0
1.109922917E-1,3.341052246E0,-9.054670715E0,1.342707825E0,9.744360224E0
1.209502917E-1,3.301384735E0,-9.140292664E0,1.481768646E0,9.830550822E0
1.309072917E-1,3.348386993E0,-9.260343018E0,1.596280518E0,9.975658362E0
1.408642917E-1,3.388653259E0,-9.270222473E0,1.668879547E0,1.001025247E1
1.508212917E-1,3.400778046E0,-9.142537994E0,1.719624023E0,9.904968404E0
1.607782917E-1,3.416944427E0,-9.004674683E0,1.756148071E0,9.789981175E0
1.707362917E-1,3.500321045E0,-9.034911804E0,1.723815308E0,9.841413412E0
1.806932917E-1,3.511847076E0,-9.041049042E0,1.628313904E0,9.834889111E0
1.906502917E-1,3.511398010E0,-9.063502350E0,1.570683746E0,9.846016365E0
2.006072917E-1,3.504063263E0,-9.075926514E0,1.525477753E0,9.847740035E0
2.105652917E-1,3.478466492E0,-9.078171844E0,1.447489929E0,9.828945023E0
2.205222917E-1,3.465593262E0,-9.053323517E0,1.415157166E0,9.796717469E0
2.304792917E-1,3.441643066E0,-9.045090637E0,1.356329498E0,9.772318115E0
2.404362917E-1,3.445684662E0,-9.053024139E0,1.324595490E0,9.776734734E0
