Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 13380,  2587, -1830, 15865,  0, 0, 0
1, 13514,  2599, -1860, 15975,  0, 0, 0
2, 13648,  2610, -1902, 15904,  0, 0, 0
3, 13782,  2543, -1910, 15857,  0, 0, 0
4, 13915,  2526, -1914, 15793,  0, 0, 0
5, 14049,  2557, -1892, 15758,  0, 0, 0
6, 14183,  2645, -1934, 15742,  -6, -46, -50
7, 14317,  2744, -2017, 15773,  -8, -57, -53
8, 14451,  2781, -2085, 15781,  -4, -56, -53
9, 14584,  2890, -2168, 15795,  4, -55, -54
10, 14718,  2948, -2146, 15877,  14, -53, -61
11, 14852,  2929, -2092, 16026,  25, -53, -61
12, 14986,  2953, -2095, 16045,  25, -50, -63
13, 15119,  2943, -2088, 16090,  22, -45, -61
14, 15253,  2962, -2132, 16122,  23, -38, -57
15, 15387,  2987, -2164, 16115,  31, -28, -57
16, 15521,  2992, -2212, 16078,  39, -14, -57
17, 15654,  2908, -2205, 16045,  47, 3, -55
18, 15788,  2860, -2174, 16010,  57, 18, -52
19, 15922,  2745, -2108, 16002,  65, 30, -48
20, 16056,  2700, -2065, 15976,  65, 33, -43
21, 16189,  2738, -1952, 15968,  56, 35, -34
22, 16323,  2697, -1873, 16003,  48, 35, -29
23, 16457,  2726, -1874, 15957,  35, 25, -22
24, 16591,  2658, -1816, 15950,  23, 19, -15
25, 16724,  2636, -1869, 15844,  14, 14, -16
26, 16858,  2664, -1958, 15810,  2, 6, -16
27, 16992,  2713, -2095, 15739,  -6, 1, -12
28, 17126,  2805, -2242, 15661,  -2, 0, -13
29, 17260,  2909, -2343, 15608,  11, 3, -10
30, 17393,  2969, -2359, 15636,  32, 9, -6
31, 17527,  2912, -2324, 15717,  60, 19, -6
32, 17661,  2833, -2217, 15832,  79, 24, -4
33, 17795,  2779, -2016, 16080,  88, 26, 3
34, 17928,  2774, -1944, 16119,  85, 23, 8
35, 18062,  2766, -1881, 16211,  82, 27, 12
36, 18196,  2789, -1862, 16226,  80, 24, 13
37, 18330,  2890, -1724, 16268,  73, 23, 12
38, 18464,  2870, -1687, 16183,  60, 22, 15
39, 18598,  2780, -1695, 16191,  51, 14, 21
40, 18732,  2949, -1683, 16316,  38, 7, 27
41, 18865,  3028, -1647, 16246,  32, 6, 24
