Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 61925,  14822, -14261, -4183,  -537, -798, 766
1, 62058,  15216, -14515, -4079,  -423, -579, 692
2, 62190,  15343, -14777, -4158,  -290, -395, 628
3, 62323,  15239, -14817, -4441,  -150, -251, 548
4, 62455,  15159, -14283, -4716,  -27, -142, 445
5, 62588,  14883, -13760, -5093,  41, -45, 342
6, 62721,  13378, -13800, -6159,  69, 107, 196
7, 62853,  12712, -13894, -6401,  75, 124, 147
8, 62986,  12170, -13927, -6680,  56, 116, 120
9, 63118,  11760, -13849, -6971,  23, 91, 117
10, 63251,  11446, -13718, -7120,  -16, 37, 136
11, 63383,  11333, -13850, -7053,  -58, -28, 145
12, 63516,  11328, -14170, -6941,  -98, -90, 161
13, 63648,  11317, -14418, -6756,  -143, -140, 170
14, 63781,  11415, -14531, -6470,  -183, -173, 157
15, 63913,  11506, -14329, -6157,  -209, -185, 133
16, 64046,  11782, -14100, -5945,  -226, -178, 108
17, 64178,  12018, -13930, -5702,  -233, -146, 86
18, 64311,  11964, -13479, -5419,  -240, -90, 62
19, 64444,  11876, -12992, -5269,  -247, -38, 20
20, 64576,  11861, -12910, -5288,  -236, 5, -47
21, 64709,  11858, -12870, -5284,  -203, 61, -126
22, 64841,  11760, -12712, -5242,  -153, 131, -194
23, 64973,  11601, -12573, -5205,  -93, 201, -254
24, 65106,  11520, -12594, -5130,  -36, 273, -299
25, 65238,  11313, -12510, -5085,  13, 353, -325
26, 65371,  10964, -12425, -5206,  51, 428, -346
27, 65503,  10516, -12448, -5383,  93, 483, -358
28, 100,  10153, -12415, -5600,  135, 514, -356
29, 232,  9710, -12275, -5863,  174, 528, -346
30, 365,  9333, -12019, -6137,  190, 512, -335
31, 497,  9019, -11732, -6350,  177, 465, -318
32, 630,  8744, -11453, -6540,  150, 394, -303
33, 762,  8511, -11351, -6655,  120, 305, -284
34, 894,  8382, -11260, -6635,  84, 211, -253
35, 1027,  8386, -11064, -6494,  32, 47, -167
36, 1159,  8542, -11068, -6400,  12, -7, -123
37, 1292,  8676, -11116, -6364,  2, -46, -70
