Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 5333,  11105, 5047, 6766,  -233, 533, 746
1, 5465,  11102, 4712, 6601,  -303, 432, 736
2, 5598,  11332, 4385, 6523,  -351, 318, 734
3, 5730,  11702, 4051, 6559,  -371, 211, 738
4, 5863,  12137, 3830, 6682,  -359, 117, 746
5, 5995,  12640, 3725, 6847,  -315, 42, 752
6, 6128,  12971, 3719, 7131,  -245, -1, 755
7, 6260,  13139, 3903, 7523,  -167, -18, 760
8, 6393,  13449, 4054, 8040,  -114, -28, 772
9, 6526,  14071, 3951, 8575,  -94, -20, 797
10, 6658,  15345, 3574, 9386,  -123, 113, 873
11, 6791,  15591, 3562, 9829,  -169, 210, 928
12, 6923,  15816, 3692, 10237,  -234, 303, 993
13, 7056,  16012, 3792, 10238,  -317, 391, 1070
14, 7188,  16068, 3870, 10093,  -413, 473, 1143
15, 7321,  15972, 3955, 9830,  -512, 550, 1207
16, 7453,  15807, 3856, 9433,  -609, 625, 1258
17, 7586,  15646, 3504, 8821,  -684, 701, 1288
18, 7718,  15562, 3046, 8293,  -724, 770, 1290
19, 7851,  15487, 2632, 7882,  -730, 850, 1265
20, 7984,  15248, 2257, 7434,  -701, 945, 1225
21, 8116,  14853, 2043, 6991,  -641, 1047, 1180
22, 8249,  14414, 1851, 6646,  -571, 1140, 1139
23, 8381,  14048, 1568, 6437,  -491, 1209, 1108
24, 8514,  13751, 1229, 6293,  -407, 1266, 1086
25, 8646,  13472, 902, 6221,  -319, 1314, 1071
26, 8779,  13196, 683, 6301,  -235, 1356, 1062
27, 8911,  12907, 560, 6480,  -159, 1393, 1061
28, 9044,  12737, 586, 6815,  -97, 1421, 1067
29, 9176,  12863, 817, 7293,  -59, 1438, 1086
30, 9309,  13085, 975, 7728,  -42, 1457, 1117
31, 9442,  13116, 1065, 7995,  -45, 1482, 1159
32, 9574,  12882, 1143, 8097,  -65, 1514, 1199
