Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 13379,  11676, 7596, 8602,  0, 0, 0
1, 13512,  11520, 7630, 8472,  0, 0, 0
2, 13646,  11009, 7574, 8299,  0, 0, 0
3, 13780,  10869, 7208, 7915,  0, 0, 0
4, 13914,  10524, 6903, 7700,  0, 0, 0
5, 14047,  10323, 6984, 7246,  0, 0, 0
6, 14181,  10519, 7185, 6688,  -757, -1867, -1419
7, 14315,  10583, 7322, 6300,  -757, -1864, -1419
8, 14449,  10626, 7453, 5968,  -771, -1850, -1395
9, 14582,  10637, 7505, 5528,  -791, -1823, -1366
10, 14716,  10429, 7454, 5039,  -802, -1788, -1338
11, 14850,  10362, 7580, 4116,  -785, -1723, -1323
12, 14984,  10482, 7678, 3661,  -753, -1679, -1318
13, 15117,  10741, 7668, 3345,  -704, -1616, -1315
14, 15251,  10991, 7582, 3085,  -639, -1535, -1318
15, 15385,  11102, 7507, 2860,  -560, -1443, -1316
16, 15519,  11006, 7576, 2635,  -467, -1349, -1309
17, 15652,  10960, 7667, 2461,  -361, -1267, -1295
18, 15786,  11056, 7946, 2357,  -248, -1197, -1274
19, 15920,  11084, 8142, 2264,  -126, -1139, -1246
20, 16054,  11091, 8236, 2254,  1, -1086, -1217
21, 16187,  11104, 8380, 2335,  149, -1042, -1196
22, 16321,  11138, 8847, 2516,  318, -1011, -1175
23, 16455,  11183, 9424, 2741,  503, -995, -1162
24, 16589,  11204, 10012, 2976,  693, -990, -1153
25, 16722,  11322, 10805, 3432,  879, -999, -1149
26, 16856,  11433, 11800, 4140,  1047, -1037, -1154
27, 16990,  11754, 12770, 4902,  1183, -1091, -1168
28, 17124,  12306, 13328, 5700,  1292, -1161, -1193
29, 17257,  12636, 13701, 6795,  1374, -1209, -1229
30, 17391,  13032, 14388, 8029,  1440, -1256, -1259
31, 17525,  13840, 15059, 9045,  1477, -1295, -1268
32, 17659,  14697, 15705, 10299,  1492, -1300, -1263
33, 17792,  15961, 17029, 12393,  1467, -1201, -1245
34, 17926,  16160, 17822, 13343,  1406, -1102, -1242
35, 18060,  15919, 18524, 14144,  1294, -967, -1237
36, 18194,  15433, 19247, 14693,  1139, -824, -1218
