Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 55640,  14180, 10181, 809,  -1667, -91, 1368
1, 55772,  13872, 10309, 573,  -1557, -68, 1422
2, 55905,  14204, 10135, 585,  -1448, -51, 1454
3, 56037,  14153, 10242, 152,  -1329, -5, 1463
4, 56170,  14290, 10172, -268,  -1241, 23, 1446
5, 56303,  14254, 9593, 22,  -1198, 83, 1447
6, 56435,  13564, 9384, 43,  -1153, 210, 1473
7, 56568,  13303, 9606, -8,  -1068, 281, 1484
8, 56700,  13109, 10169, -404,  -979, 318, 1478
9, 56833,  13077, 10086, -415,  -834, 428, 1471
10, 56965,  13322, 10838, -688,  -746, 431, 1459
11, 57098,  13133, 10233, -575,  -733, 414, 1426
12, 57230,  12952, 9344, -353,  -728, 432, 1434
13, 57363,  12655, 8962, -223,  -681, 463, 1471
14, 57496,  11751, 9175, -544,  -622, 457, 1511
15, 57628,  12342, 9292, -220,  -576, 359, 1523
16, 57761,  11874, 8858, -394,  -575, 309, 1536
17, 57893,  11817, 9477, -658,  -568, 178, 1535
18, 58026,  11787, 9355, -127,  -601, -3, 1490
19, 58158,  11572, 8711, 95,  -681, -106, 1439
20, 58291,  11154, 8212, 153,  -762, -151, 1393
21, 58423,  10822, 7774, 247,  -829, -178, 1350
22, 58556,  10454, 7170, 185,  -888, -174, 1300
23, 58688,  10194, 6909, -100,  -923, -158, 1248
24, 58821,  9957, 6437, -238,  -947, -157, 1198
25, 58954,  9549, 5864, -439,  -951, -150, 1159
26, 59086,  9298, 5330, -657,  -922, -141, 1133
27, 59219,  9338, 4976, -620,  -862, -136, 1114
28, 59351,  9123, 4802, -993,  -771, -121, 1096
29, 59484,  9441, 4999, -996,  -654, -122, 1061
30, 59616,  9470, 5059, -1160,  -538, -94, 1012
31, 59749,  9445, 5089, -1244,  -414, -70, 952
32, 59881,  9387, 4989, -1030,  -292, -43, 888
33, 60014,  9711, 4252, -145,  -161, 22, 831
34, 60146,  9472, 3809, 401,  45, 198, 817
35, 60279,  9362, 4824, 17,  316, 356, 803
36, 60412,  9619, 5502, 53,  550, 435, 736
37, 60544,  9576, 5889, 261,  952, 735, 583
38, 60677,  9508, 6481, 337,  1155, 864, 481
39, 60809,  9844, 7065, 564,  1345, 948, 369
40, 60942,  10369, 7814, 739,  1520, 1019, 251
41, 61074,  10739, 8305, 887,  1670, 1121, 112
42, 61207,  10905, 8562, 1058,  1796, 1245, -47
43, 61339,  10883, 8519, 1332,  1895, 1380, -212
44, 61472,  10917, 8373, 1747,  1986, 1513, -381
45, 61604,  10685, 8033, 1964,  2047, 1644, -556
46, 61737,  10509, 7918, 1955,  2089, 1722, -722
47, 61869,  10450, 8125, 1876,  2099, 1734, -891
48, 62002,  10568, 8187, 1789,  2059, 1705, -1060
49, 62134,  10627, 8160, 1874,  1985, 1656, -1208
50, 62267,  10730, 8190, 2418,  1878, 1600, -1327
51, 62399,  10430, 7921, 2580,  1729, 1557, -1409
52, 62532,  10224, 7721, 2704,  1593, 1491, -1453
53, 62664,  10129, 7523, 2858,  1484, 1427, -1480
54, 62796,  10352, 7441, 3181,  1426, 1392, -1500
55, 62929,  10425, 7113, 3464,  1422, 1447, -1525
56, 63061,  10453, 6777, 3537,  1478, 1544, -1560
57, 63194,  10404, 6738, 3563,  1585, 1662, -1605
58, 63326,  10647, 6881, 3517,  1707, 1797, -1665
59, 63459,  10713, 7072, 2858,  1820, 1900, -1755
60, 63591,  10669, 7725, 2412,  1914, 1932, -1868
61, 63724,  10508, 8564, 2154,  1958, 1910, -1987
62, 63856,  10795, 9635, 2127,  1992, 1818, -2131
63, 63989,  10961, 10564, 2538,  2041, 1672, -2303
64, 64121,  10396, 11207, 3028,  2077, 1461, -2489
65, 64254,  9488, 11266, 3649,  2082, 1182, -2662
66, 64386,  9729, 10959, 5413,  1965, 487, -2855
67, 64519,  10142, 10943, 5828,  1822, 191, -2827
68, 64651,  10536, 10726, 6277,  1606, -65, -2721
69, 64783,  11732, 10749, 6996,  1384, -362, -2628
70, 64916,  13144, 10672, 7055,  1157, -643, -2579
71, 65048,  14828, 10612, 6695,  918, -858, -2529
72, 65181,  16308, 10184, 6615,  656, -967, -2434
73, 65313,  17504, 9407, 6822,  420, -992, -2308
74, 65446,  18207, 8447, 7339,  271, -969, -2181
75, 42,  18778, 7156, 7754,  217, -941, -2068
76, 175,  19224, 5974, 7995,  268, -892, -1960
77, 307,  19550, 5222, 7950,  412, -796, -1851
78, 440,  19603, 4835, 7691,  614, -656, -1749
79, 572,  19551, 4592, 7552,  838, -491, -1651
80, 705,  19358, 4568, 7582,  1061, -300, -1559
