Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 13376,  15606, 8536, -2403,  0, 0, 0
1, 13509,  16085, 8591, -1996,  0, 0, 0
2, 13643,  16214, 8622, -1075,  0, 0, 0
3, 13777,  16202, 8984, 54,  0, 0, 0
4, 13911,  16035, 9358, 1129,  0, 0, 0
5, 14045,  15826, 9536, 1589,  0, 0, 0
6, 14178,  15703, 9645, 1561,  504, 1415, -565
7, 14312,  15860, 9685, 1299,  483, 1409, -566
8, 14446,  16090, 9630, 1108,  408, 1392, -558
9, 14580,  16313, 9753, 1148,  323, 1373, -546
10, 14713,  16403, 9972, 1215,  241, 1347, -520
11, 14847,  16352, 10132, 1290,  162, 1306, -479
12, 14981,  16578, 10291, 1741,  4, 1178, -382
13, 15115,  16729, 10152, 1977,  -72, 1092, -326
14, 15248,  16661, 10046, 2193,  -153, 1012, -257
15, 15382,  16591, 9868, 2371,  -236, 922, -176
16, 15516,  16588, 9927, 2509,  -313, 823, -88
17, 15650,  16602, 10139, 2734,  -386, 722, 1
18, 15783,  16705, 10492, 3071,  -456, 618, 87
19, 15917,  16918, 10732, 3304,  -525, 519, 174
20, 16051,  17268, 11029, 3585,  -592, 426, 273
21, 16185,  17078, 11178, 3580,  -661, 362, 367
22, 16319,  16828, 11250, 3719,  -729, 307, 455
23, 16453,  16727, 11264, 3843,  -802, 254, 550
24, 16586,  16564, 11497, 3957,  -867, 199, 661
25, 16720,  16534, 11849, 3925,  -934, 137, 775
26, 16854,  16446, 12103, 3915,  -1012, 67, 885
27, 16988,  16234, 12229, 4057,  -1088, -6, 993
28, 17122,  15952, 12325, 3944,  -1159, -75, 1095
29, 17256,  15605, 12429, 3808,  -1221, -153, 1190
30, 17389,  15312, 12481, 3625,  -1272, -234, 1280
31, 17523,  15191, 12482, 3476,  -1314, -317, 1355
32, 17657,  15315, 12420, 3194,  -1343, -383, 1414
33, 17791,  15542, 12402, 2962,  -1348, -412, 1454
34, 17925,  15312, 12526, 2899,  -1295, -397, 1506
35, 18059,  15020, 12628, 2993,  -1266, -390, 1521
36, 18192,  14765, 12645, 2991,  -1241, -396, 1528
37, 18326,  14702, 12734, 3000,  -1224, -409, 1531
38, 18460,  14583, 12879, 3019,  -1217, -429, 1528
39, 18594,  14640, 13032, 2996,  -1213, -457, 1521
40, 18728,  14770, 13327, 3127,  -1218, -482, 1509
41, 18862,  14998, 13929, 3335,  -1228, -512, 1503
42, 18995,  15078, 14408, 3449,  -1254, -546, 1520
43, 19129,  15018, 14675, 3399,  -1293, -576, 1542
44, 19263,  14872, 14799, 3381,  -1346, -592, 1567
45, 19397,  14657, 14538, 3271,  -1409, -606, 1590
46, 19531,  14365, 14366, 3114,  -1469, -628, 1605
47, 19665,  14121, 14248, 3006,  -1521, -657, 1620
48, 19798,  13847, 14117, 2859,  -1563, -690, 1636
49, 19932,  13488, 13944, 2667,  -1600, -725, 1644
50, 20066,  13204, 13715, 2495,  -1634, -765, 1653
51, 20200,  13029, 13498, 2280,  -1661, -806, 1657
52, 20334,  12857, 13281, 2098,  -1681, -843, 1665
53, 20467,  12702, 13077, 1895,  -1692, -877, 1668
54, 20601,  12484, 12868, 1657,  -1691, -907, 1665
55, 20735,  12320, 12625, 1440,  -1678, -929, 1659
56, 20869,  12070, 12405, 1189,  -1621, -951, 1634
57, 21003,  11991, 12355, 1096,  -1584, -951, 1614
58, 21137,  11940, 12249, 1107,  -1547, -945, 1598
59, 21270,  11873, 12155, 1113,  -1509, -931, 1586
60, 21404,  11847, 12055, 1111,  -1475, -908, 1576
61, 21538,  11767, 11869, 1069,  -1444, -874, 1561
62, 21672,  11678, 11611, 1004,  -1411, -828, 1544
63, 21806,  11462, 11430, 825,  -1372, -772, 1526
64, 21940,  11201, 11442, 641,  -1332, -713, 1513
65, 22073,  10928, 11458, 439,  -1289, -657, 1498
66, 22207,  10669, 11406, 266,  -1248, -610, 1478
67, 22341,  10353, 11380, 112,  -1208, -569, 1455
68, 22475,  10025, 11304, 38,  -1173, -530, 1423
69, 22609,  9704, 11330, -112,  -1143, -507, 1388
70, 22742,  9407, 11284, -229,  -1111, -492, 1354
71, 22876,  9165, 11201, -374,  -1080, -477, 1318
72, 23010,  8979, 11189, -484,  -1048, -471, 1276
73, 23144,  8832, 11075, -509,  -1020, -455, 1227
74, 23278,  8624, 10838, -580,  -985, -440, 1165
75, 23412,  8312, 10539, -638,  -943, -421, 1092
76, 23545,  8132, 10249, -733,  -893, -398, 1014
77, 23679,  7921, 9911, -771,  -836, -373, 933
78, 23813,  7752, 9374, -922,  -696, -317, 762
79, 23947,  7727, 9187, -909,  -612, -285, 671
80, 24081,  7719, 8993, -975,  -525, -246, 575
81, 24215,  7719, 8844, -986,  -427, -202, 482
82, 24348,  7747, 8672, -1006,  -327, -159, 395
83, 24482,  7741, 8576, -945,  -230, -112, 308
84, 24616,  7709, 8509, -959,  -126, -70, 228
85, 24750,  7719, 8412, -905,  -24, -30, 157
86, 24884,  7816, 8497, -852,  75, 7, 87
87, 25018,  7869, 8586, -698,  171, 37, 25
88, 25151,  7915, 8575, -493,  261, 65, -31
89, 25285,  7878, 8618, -262,  337, 85, -90
90, 25419,  7845, 8616, -107,  409, 98, -142
91, 25553,  7770, 8694, -2,  471, 105, -189
92, 25686,  7791, 8833, 136,  530, 102, -238
93, 25820,  7884, 9008, 307,  582, 95, -292
94, 25954,  7979, 9220, 489,  626, 86, -343
95, 26088,  8120, 9366, 845,  663, 71, -393
96, 26221,  8230, 9448, 1181,  688, 49, -441
97, 26355,  8393, 9538, 1397,  699, 31, -483
98, 26489,  8521, 9557, 1515,  701, 19, -518
99, 26623,  8763, 9522, 1487,  700, 15, -550
100, 26756,  8937, 9836, 1415,  713, 47, -625
101, 26890,  8873, 10054, 1292,  732, 69, -674
102, 27024,  8734, 10268, 1234,  752, 84, -732
103, 27158,  8569, 10463, 1234,  770, 87, -795
104, 27291,  8468, 10562, 1308,  781, 74, -859
105, 27425,  8384, 10645, 1402,  783, 39, -922
106, 27559,  8453, 10788, 1455,  777, -12, -990
107, 27693,  8657, 10976, 1562,  773, -67, -1063
108, 27826,  8978, 11184, 1775,  764, -133, -1136
109, 27960,  9452, 11269, 1857,  756, -196, -1206
110, 28094,  10084, 11319, 1936,  747, -250, -1270
111, 28228,  10713, 11482, 2120,  748, -276, -1337
112, 28361,  11334, 11519, 2212,  755, -274, -1410
113, 28495,  11872, 11555, 2253,  775, -247, -1492
114, 28629,  12271, 11634, 2338,  810, -193, -1588
115, 28763,  12585, 11870, 2466,  861, -126, -1689
116, 28896,  12936, 12121, 2670,  922, -54, -1796
117, 29030,  13366, 12282, 2979,  986, 18, -1901
118, 29164,  13797, 12442, 3177,  1044, 100, -2002
119, 29298,  14118, 12472, 3323,  1099, 196, -2095
120, 29431,  14295, 12433, 3476,  1154, 299, -2185
121, 29565,  14383, 12460, 3673,  1209, 401, -2272
122, 29699,  14700, 12753, 3950,  1299, 550, -2420
123, 29833,  14996, 12871, 4226,  1322, 599, -2479
124, 29966,  15300, 13035, 4475,  1318, 629, -2532
125, 30100,  15588, 13094, 4481,  1292, 640, -2569
126, 30234,  16119, 12955, 4399,  1252, 642, -2599
127, 30368,  16706, 12783, 4251,  1216, 640, -2621
128, 30501,  17230, 12602, 4066,  1189, 646, -2635
129, 30635,  17578, 12360, 3876,  1178, 662, -2641
130, 30769,  17658, 12049, 3764,  1175, 681, -2638
131, 30902,  17613, 11641, 3711,  1188, 695, -2622
132, 31036,  17587, 11240, 3701,  1208, 704, -2595
133, 31170,  17617, 10875, 3732,  1242, 699, -2554
134, 31304,  17677, 10597, 3718,  1280, 692, -2509
135, 31437,  17807, 10428, 3736,  1324, 687, -2459
136, 31571,  17980, 10316, 3864,  1375, 693, -2395
137, 31705,  18470, 10522, 4311,  1428, 704, -2326
138, 31839,  19144, 10855, 5090,  1465, 698, -2231
139, 31972,  19782, 11060, 5730,  1473, 689, -2113
140, 32106,  20267, 11043, 6094,  1454, 710, -1981
